time,seconds_elapsed,qw,qx,qy,qz
1149008206698,2.902016904,0.87974554,0.4608969,0.08015762,0.08483326
1149028256374,2.92206658,0.87530506,0.4690263,0.08169418,0.084744334
1149048275533,2.942085739,0.8715655,0.47552836,0.08378985,0.08500424
1149068294691,2.962104897,0.86789095,0.4817014,0.0858698,0.085764825
1149088344367,2.982154573,0.8648948,0.48656952,0.08769074,0.08670407
1149108363526,3.002173732,0.862934,0.48965245,0.08912797,0.08741594
1149128382685,3.022192891,0.86222607,0.4907558,0.08956825,0.08776429
1149148432360,3.042242566,0.8629694,0.48960647,0.08907289,0.087380596
1149168451520,3.062261726,0.8648764,0.48651758,0.08791139,0.08695511
1149188501195,3.082311401,0.8676094,0.48190752,0.08698737,0.08632802
1149208520354,3.10233056,0.87144345,0.47518072,0.08613841,0.085847735
1149228570029,3.122380235,0.87633896,0.46643418,0.08470071,0.085410915
1149248589189,3.142399395,0.8819694,0.45618165,0.082816094,0.08467463
1149268638865,3.162449071,0.8871205,0.4464975,0.08094149,0.08429616
1149288658023,3.182468229,0.89065254,0.43975475,0.07923056,0.08412103
1149308677182,3.202487388,0.8920507,0.43700218,0.07856338,0.084276274
1149328726858,3.222537064,0.8914206,0.43793884,0.07948028,0.085216954
1149348746016,3.242556222,0.88899267,0.44225496,0.08114126,0.086709835
1149368795692,3.262605898,0.8855019,0.4486626,0.08278733,0.08794671
1149388814851,3.282625057,0.88109493,0.45676783,0.084477305,0.08887375
1149408864527,3.302674733,0.8765209,0.4651342,0.085799485,0.089442
1149428883685,3.322693891,0.87363744,0.47023028,0.08761385,0.089247264
1149448933361,3.342743567,0.87000006,0.47671193,0.08896603,0.08905486
1149468952520,3.362762726,0.8669608,0.48195028,0.09012386,0.08933457
1149489002196,3.382812402,0.8647466,0.48564005,0.091409214,0.089506626
1149509021354,3.40283156,0.8635582,0.48752406,0.09244714,0.08967323
1149529071030,3.422881236,0.8635136,0.48744586,0.09288995,0.09006895
1149549090190,3.442900396,0.8645652,0.48559076,0.092626505,0.09027277
1149569139865,3.462950071,0.86634445,0.48257005,0.09199134,0.090061605
1149589159024,3.48296923,0.86871755,0.47847992,0.091416895,0.08960908
1149609208699,3.503018905,0.87204593,0.47270542,0.090398535,0.08895949
1149629319409,3.523129615,0.87619025,0.4655524,0.08835059,0.08801117
1149649338569,3.543148775,0.88051075,0.45799762,0.08534361,0.0874958
1149669388245,3.563198451,0.8841052,0.4515622,0.08222618,0.0876849
1149689407403,3.583217609,0.8857735,0.44852546,0.08006084,0.088434026
1149709426562,3.603236768,0.88584095,0.44831637,0.0795012,0.08931988
1149729476238,3.623286444,0.8847703,0.45004064,0.08044088,0.09041143
1149749495396,3.643305602,0.88332903,0.45252097,0.081581905,0.09109936
1149769514555,3.663324761,0.8818832,0.45507172,0.082740806,0.09135551
1149789564231,3.683374437,0.8807594,0.45707083,0.0836245,0.091411136
1149809583389,3.703393595,0.87952685,0.45939237,0.08390239,0.09138816
1149829633065,3.723443271,0.87840366,0.46147504,0.08399158,0.09161522
1149849652224,3.74346243,0.87698346,0.46400738,0.08408353,0.09234229
1149869701900,3.763512106,0.875723,0.46620223,0.08418323,0.093155585
1149889721059,3.783531265,0.8749993,0.46743166,0.084217384,0.09376312
1149909770734,3.80358094,0.87563974,0.4662884,0.084183685,0.093506806
1149929789894,3.8236001,0.8768456,0.4642973,0.08345583,0.092763
1149949809052,3.843619258,0.8781331,0.46217164,0.08264915,0.09191719
1149969858728,3.863668934,0.8789297,0.46098328,0.081049435,0.09169489
1149989877887,3.883688093,0.87975544,0.45957696,0.08084861,0.091011286
1150009927563,3.903737769,0.88088053,0.45757776,0.08160994,0.08951021
1150029946721,3.923756927,0.882282,0.45517188,0.082313575,0.087302
1150049996397,3.943806603,0.88341033,0.4532577,0.08333815,0.08484431
1150070015556,3.963825762,0.884108,0.4520251,0.085151844,0.082314685
